Student,Team,Gel_Number,Sample_Type,Band_Visible,PCR_Success
WL,Spin,1,Frozen,Yes,1
WL,Spin,1,Ethanol,Yes,1
WL,Spin,1,Silica,No,0
KG,Magnet,1,Frozen,No,0
KG,Magnet,1,Ethanol,No,0
KG,Magnet,1,Silica,No,0
KG,Magnet,1,control+,Yes,1
MA,Magnet,1,Frozen,No,0
MA,Magnet,1,Ethanol,No,0
MA,Magnet,1,Silica,Yes,1
MA,Magnet,1,control+,Yes,1
HV,Spin,1,Frozen,Yes,1
HV,Spin,1,Ethanol,Yes,1
HV,Spin,1,Silica,Yes,1
HV,Spin,1,control+,Yes,1
TW,Spin,2,Frozen,No,0
TW,Spin,2,Ethanol,No,0
TW,Spin,2,Silica,Yes,1
TW,Spin,2,control+,Yes,1
BR,Magnet,2,Frozen,No,0
BR,Magnet,2,Ethanol,Yes,1
BR,Magnet,2,Silica,Yes,1
BR,Magnet,2,control+,Yes,1
WA,Magnet,2,Frozen,Yes,1
WA,Magnet,2,Ethanol,Yes,1
WA,Magnet,2,Silica,No,0
WA,Magnet,2,control+,Yes,1
JR,Spin,2,Frozen,Yes,1
JR,Spin,2,Ethanol,Yes,1
JR,Spin,2,Silica,Yes,1
JA,Magnet,3,Frozen,No,0
JA,Magnet,3,Ethanol,Yes,1
JA,Magnet,3,Silica,Yes,1
JA,Magnet,3,control+,Yes,1
MA,Magnet,3,Frozen,Yes,1
MA,Magnet,3,Ethanol,Yes,1
MA,Magnet,3,Silica,No,0
MA,Magnet,3,control+,Yes,1
