Student,Extraction_Method,Sample_Type,Ratio_260_280,Ratio_260_230,Quality_Grade,Quality_Score,Issues
BR,Column,Aedes albopictus,3.12,0.18,Poor,25,high 260/280 ratio; severe organic contamination
BR,Column,Culex spp.,2.09,0.43,Poor,25,high 260/280 ratio; severe organic contamination
BR,Magnetic_Beads,Ethanol,0.92,0.49,Poor,15,protein contamination; severe organic contamination
BR,Magnetic_Beads,Frozen,0.79,0.36,Poor,15,protein contamination; severe organic contamination
BR,Magnetic_Beads,Silica,0.73,0.85,Poor,15,protein contamination; severe organic contamination
HV,Column,Aedes albopictus,1.37,0.04,Poor,15,protein contamination; severe organic contamination
HV,Column,Culex spp.,1.8,0.03,Fair,55,severe organic contamination
HV,Magnetic_Beads,Ethanol,2.19,1.28,Poor,35,high 260/280 ratio; moderate organic contamination
HV,Magnetic_Beads,Frozen,3.06,1.69,Fair,50,high 260/280 ratio; minor organic contamination
HV,Magnetic_Beads,Silica,2.32,1.63,Fair,50,high 260/280 ratio; minor organic contamination
JA,Column,Aedes albopictus,2.12,0.8,Poor,25,high 260/280 ratio; severe organic contamination
JA,Column,Culex spp.,3.47,0.18,Poor,25,high 260/280 ratio; severe organic contamination
JA,Magnetic_Beads,Ethanol,-4.3,0.81,Poor,15,protein contamination; severe organic contamination
JA,Magnetic_Beads,Frozen,4.25,1.71,Fair,50,high 260/280 ratio; minor organic contamination
JA,Magnetic_Beads,Silica,1.05,0.59,Poor,15,protein contamination; severe organic contamination
JM,Column,Aedes albopictus,2.11,0.54,Poor,25,high 260/280 ratio; severe organic contamination
JM,Column,Culex spp.,8.49,0.21,Poor,25,high 260/280 ratio; severe organic contamination
JM,Magnetic_Beads,Ethanol,7.68,2.13,Good,70,high 260/280 ratio
JM,Magnetic_Beads,Frozen,-3.1,2.31,Good,60,protein contamination
JM,Magnetic_Beads,Silica,-8.35,3.5,Good,60,protein contamination
JR,Column,Aedes albopictus,2.22,0.53,Poor,25,high 260/280 ratio; severe organic contamination
JR,Column,Culex spp.,2.44,0.12,Poor,25,high 260/280 ratio; severe organic contamination
JR,Magnetic_Beads,Ethanol,2.34,1.84,Fair,50,high 260/280 ratio; minor organic contamination
JR,Magnetic_Beads,Frozen,-2.57,-0.82,Poor,15,protein contamination; severe organic contamination
JR,Magnetic_Beads,Silica,-0.21,-0.23,Poor,15,protein contamination; severe organic contamination
KG,Column,Aedes albopictus,2.47,0.51,Poor,25,high 260/280 ratio; severe organic contamination
KG,Column,Culex spp.,2.47,0.33,Poor,25,high 260/280 ratio; severe organic contamination
KG,Magnetic_Beads,Ethanol,2.59,1.48,Poor,35,high 260/280 ratio; moderate organic contamination
KG,Magnetic_Beads,Frozen,8.81,0.23,Poor,25,high 260/280 ratio; severe organic contamination
KG,Magnetic_Beads,Silica,-3.24,0.09,Poor,15,protein contamination; severe organic contamination
MA,Column,Aedes albopictus,1.94,0.7,Fair,55,severe organic contamination
MA,Column,Culex spp.,2.73,0.16,Poor,25,high 260/280 ratio; severe organic contamination
MA,Magnetic_Beads,Ethanol,0.65,0.34,Poor,15,protein contamination; severe organic contamination
MA,Magnetic_Beads,Frozen,-7.45,0.29,Poor,15,protein contamination; severe organic contamination
MA,Magnetic_Beads,Silica,3.03,0.25,Poor,25,high 260/280 ratio; severe organic contamination
TW,Column,Aedes albopictus,2.18,1.01,Poor,35,high 260/280 ratio; moderate organic contamination
TW,Column,Culex spp.,3.65,0.36,Poor,25,high 260/280 ratio; severe organic contamination
TW,Magnetic_Beads,Ethanol,17.02,0.25,Poor,25,high 260/280 ratio; severe organic contamination
TW,Magnetic_Beads,Frozen,2.66,0.15,Poor,25,high 260/280 ratio; severe organic contamination
TW,Magnetic_Beads,Silica,-0.83,-7.55,Poor,15,protein contamination; severe organic contamination
WA,Column,Aedes albopictus,2.1,1.51,Fair,50,high 260/280 ratio; minor organic contamination
WA,Column,Culex spp.,8.08,0.05,Poor,25,high 260/280 ratio; severe organic contamination
WA,Magnetic_Beads,Ethanol,2.2,1.88,Fair,50,high 260/280 ratio; minor organic contamination
WA,Magnetic_Beads,Frozen,0.58,0.2,Poor,15,protein contamination; severe organic contamination
WA,Magnetic_Beads,Frozen,2.5,1.31,Poor,35,high 260/280 ratio; moderate organic contamination
WL,Column,Aedes albopictus,1.5,0.01,Poor,35,protein contamination; severe organic contamination
WL,Column,Culex spp.,2.67,0.03,Poor,25,high 260/280 ratio; severe organic contamination
WL,Magnetic_Beads,Ethanol,17.05,0.51,Poor,25,high 260/280 ratio; severe organic contamination
WL,Magnetic_Beads,Frozen,2.41,1.25,Poor,35,high 260/280 ratio; moderate organic contamination
WL,Magnetic_Beads,Silica,2.44,1.07,Poor,35,high 260/280 ratio; moderate organic contamination
