Student,Team,Sample_Type,Mean,StdDev,Count
BR,Magnet,Ethanol,5.633333333333333,0.2203028218914445,3
BR,Magnet,Frozen,0.6110000000000001,0.05550675634551166,3
BR,Magnet,Silica,1.7699999999999998,0.6794850991743676,3
HV,Spin,Ethanol,20.666666666666668,0.6350852961085866,3
HV,Spin,Frozen,6.796666666666667,0.19731531449264958,3
HV,Spin,Silica,11.243333333333334,0.09814954576223633,3
JA,Magnet,Ethanol,0.5503333333333333,0.2155326734704818,3
JA,Magnet,Frozen,0.4583333333333333,0.10354870029765388,3
JA,Magnet,Silica,0.668,0.1555602777061033,3
JM,Spin,Ethanol,9.283333333333333,4.658157718812593,3
JM,Spin,Frozen,2.903333333333333,0.3707200201409864,3
JM,Spin,Silica,2.0,0.47286361670147553,3
JR,Spin,Ethanol,2.1366666666666667,3.3198821264215588,3
JR,Spin,Frozen,1.9560000000000002,1.04929881349404,3
JR,Spin,Silica,4.793333333333333,3.3078139810656424,3
KG,Magnet,Ethanol,0.6773333333333333,0.3586953210362986,3
KG,Magnet,Frozen,0.14933333333333335,0.09469072464256113,3
KG,Magnet,Silica,0.5096666666666666,0.024583192089989738,3
MA,Magnet,Ethanol,0.3933333333333333,0.0270616579930597,3
MA,Magnet,Frozen,7.496666666666667,0.4631774318048462,3
MA,Magnet,Silica,21.2,1.0148891565092217,3
TW,Spin,Ethanol,0.4080000000000001,0.14167921513051943,3
TW,Spin,Frozen,0.3383333333333334,0.024826061575153907,3
TW,Spin,Silica,5.373333333333334,2.9341154260412683,3
WL,Spin,Ethanol,7.626,3.3411776367023642,3
WL,Spin,Frozen,14.36,6.260095845911627,3
WL,Spin,Silica,0.49700000000000005,0.04807286136688766,3
